almond_translate/774822/name/0	لودویگ بیهال	.
almond_translate/774822/address/0	خیابان سالزبری ، سیم شا تی	.
almond_translate/774822/cuisine/0	آلمانی	.
almond_translate/774822/cuisine/1	میله	.
almond_translate/774822/cuisine/2	اروپایی	.
almond_translate/774822/cuisine/3	Pub	.
almond_translate/774822/cuisine/4	اروپای مرکزی	.
almond_translate/774822/dietary_restrictions/0	هیچی	.
almond_translate/774822/location/0	تیم شا تی	.
almond_translate/774822/location/1	کولوون	.
almond_translate/774822/location/2	منطقه ی یا سیم مونگ	.
almond_translate/776541/name/0	رستوران نی تَانگ ویتنامی	.
almond_translate/776541/address/0	شماره ۸۸-۹۰ خیابان ویلینگتون ، خلیج مرکزی کاوزوی	.
almond_translate/776541/cuisine/0	آسیایی	.
almond_translate/776541/cuisine/1	ویتنامی	.
almond_translate/776541/dietary_restrictions/0	گیاهخوار دوستانه	.
almond_translate/776541/location/0	مرکزی	.
almond_translate/776541/location/1	منطقه مرکزی	.
almond_translate/776541/location/2	جزیره هنگ کنگ	.
almond_translate/776832/name/0	شرکت لبنیات استرالیا	.
almond_translate/776832/address/0	G/F, 47-49 Parkes Street, Jordan	.
almond_translate/776832/cuisine/0	چینی	.
almond_translate/776832/dietary_restrictions/0	هیچی	.
almond_translate/776832/location/0	اردن / یا ما تی	.
almond_translate/776832/location/1	کولوون	.
almond_translate/776832/location/2	منطقه ی یا سیم مونگ	.
almond_translate/777502/name/0	سر وانگ فون	.
almond_translate/777502/address/0	خیابان کوکرین ۳۰ ، مرکز	.
almond_translate/777502/cuisine/0	چینی	.
almond_translate/777502/cuisine/1	آسیایی	.
almond_translate/777502/cuisine/2	سوپ ها	.
almond_translate/777502/dietary_restrictions/0	هیچی	.
almond_translate/777502/location/0	مرکزی	.
almond_translate/777502/location/1	منطقه مرکزی	.
almond_translate/777502/location/2	جزیره هنگ کنگ	.
almond_translate/778447/name/0	ماسک شهر سیخوان و پکن	.
almond_translate/778447/address/0	فروشگاه شماره 33 ، G / F ، ایستگاه تلویزیون شرق KCR	.
almond_translate/778447/cuisine/0	چینی	.
almond_translate/778447/cuisine/1	آسیایی	.
almond_translate/778447/dietary_restrictions/0	گیاهخوار دوستانه	.
almond_translate/778447/location/0	تیم شا تی	.
almond_translate/778447/location/1	کولوون	.
almond_translate/778447/location/2	منطقه ی یا سیم مونگ	.
almond_translate/778474/name/0	کافه کاوت	.
almond_translate/778474/address/0	ساختمان M/F ، Mandarin Oriental Hong Kong, No.5 Connaught Road, Central 5 Connaught Road Central	.
almond_translate/778474/cuisine/0	کافه	.
almond_translate/778474/cuisine/1	بین المللی	.
almond_translate/778474/dietary_restrictions/0	گیاهخوار دوستانه	.
almond_translate/778474/dietary_restrictions/1	انتخاب های سبز	.
almond_translate/778474/dietary_restrictions/2	گزینه های رایگان گلوتن	.
almond_translate/778474/location/0	مرکزی	.
almond_translate/778474/location/1	منطقه مرکزی	.
almond_translate/778474/location/2	جزیره هنگ کنگ	.
almond_translate/779644/name/0	Aqua Roma, Aqua Tokyo & Aqua Spirit	.
almond_translate/779644/address/0	29 /F & 30 /F ، 1 خیابان پکن ، تیم شا تی	.
almond_translate/779644/cuisine/0	ایتالیایی	.
almond_translate/779644/cuisine/1	ژاپنی	.
almond_translate/779644/dietary_restrictions/0	گیاهخوار دوستانه	.
almond_translate/779644/dietary_restrictions/1	انتخاب های سبز	.
almond_translate/779644/dietary_restrictions/2	گزینه های رایگان گلوتن	.
almond_translate/779644/location/0	تیم شا تی	.
almond_translate/779644/location/1	کولوون	.
almond_translate/779644/location/2	منطقه ی یا سیم مونگ	.
almond_translate/779820/name/0	لانگ یوین	.
almond_translate/779820/address/0	G/F2 Gage Street Central	.
almond_translate/779820/cuisine/0	چینی	.
almond_translate/779820/cuisine/1	آسیایی	.
almond_translate/779820/dietary_restrictions/0	هیچی	.
almond_translate/779820/location/0	مرکزی	.
almond_translate/779820/location/1	منطقه مرکزی	.
almond_translate/779820/location/2	جزیره هنگ کنگ	.
almond_translate/780281/name/0	آخرین دیدگاه نیک کلی	.
almond_translate/780281/address/0	G/F ، 11A Ashley Road ، Tsim Sha Tsui	.
almond_translate/780281/cuisine/0	میله	.
almond_translate/780281/cuisine/1	انگلیسی	.
almond_translate/780281/cuisine/2	Pub	.
almond_translate/780281/cuisine/3	استرالیایی	.
almond_translate/780281/dietary_restrictions/0	هیچی	.
almond_translate/780281/location/0	تیم شا تی	.
almond_translate/780281/location/1	کولوون	.
almond_translate/780281/location/2	منطقه ی یا سیم مونگ	.
almond_translate/780314/name/0	آشپزی ژاپنی « انکای »	.
almond_translate/780314/address/0	20 ناتان سړک 3 /F ، Sheraton Hong Kong Hotel & Towers	.
almond_translate/780314/cuisine/0	ژاپنی	.
almond_translate/780314/cuisine/1	غذای دریایی	.
almond_translate/780314/cuisine/2	سوشی	.
almond_translate/780314/cuisine/3	آسیایی	.
almond_translate/780314/dietary_restrictions/0	گیاهخوار دوستانه	.
almond_translate/780314/dietary_restrictions/1	انتخاب های سبز	.
almond_translate/780314/location/0	تیم شا تی	.
almond_translate/780314/location/1	کولوون	.
almond_translate/780314/location/2	منطقه ی یا سیم مونگ	.
almond_translate/780373/name/0	خانه اسپاگتی	.
almond_translate/780373/address/0	پلازای شهر ، Citygate ، فروشگاه تونگ چن G20 ، طبقه ی پیرامون ، فروشگاه های Citygate	.
almond_translate/780373/cuisine/0	ایتالیایی	.
almond_translate/780373/dietary_restrictions/0	هیچی	.
almond_translate/780373/location/0	سرزمینهای نو	.
almond_translate/780373/location/1	منطقه جزایر	.
almond_translate/780373/location/2	تونگ چینگ	.
almond_translate/781031/name/0	سالن آسمان	.
almond_translate/781031/address/0	20 ناتان سړک 20 ناتان سړک ، کولوون	.
almond_translate/781031/cuisine/0	بین المللی	.
almond_translate/781031/cuisine/1	بار شراب	.
almond_translate/781031/cuisine/2	میله	.
almond_translate/781031/dietary_restrictions/0	گزینه های رایگان گلوتن	.
almond_translate/781031/location/0	تیم شا تی	.
almond_translate/781031/location/1	کولوون	.
almond_translate/781031/location/2	منطقه ی یا سیم مونگ	.
almond_translate/782087/name/0	وایی کی	.
almond_translate/782087/address/0	G/F ، 62,66 Fuk Wing Street ، Sham Shui Po	.
almond_translate/782087/cuisine/0	چینی	.
almond_translate/782087/cuisine/1	غذای سریع	.
almond_translate/782087/cuisine/2	آسیایی	.
almond_translate/782087/dietary_restrictions/0	هیچی	.
