almond_translate/311565/address/0	19 درخت پنبه در مرکز	.
almond_translate/311565/name/0	پارک هنگ کنگ	.
almond_translate/311565/location/0	منطقه مرکزی	.
almond_translate/311565/location/1	مرکزی	.
almond_translate/311565/location/2	جزیره هنگ کنگ	.
almond_translate/311565/type/0	طبیعت و پارکها	.
almond_translate/311566/address/0	خیابان ملکه مرکزی HSBC مرکزی پلازا	.
almond_translate/311566/name/0	ساختمان اصلی HSBC	.
almond_translate/311566/location/0	منطقه مرکزی	.
almond_translate/311566/location/1	مرکزی	.
almond_translate/311566/location/2	جزیره هنگ کنگ	.
almond_translate/311566/type/0	مناظر و چشم انداز	.
almond_translate/311567/address/0	۱۰ درخت پنبه در ورودی پارک ، مرکز	.
almond_translate/311567/name/0	موزه ی مخزن های چایی خانه ی فلاگ استاف	.
almond_translate/311567/location/0	منطقه مرکزی	.
almond_translate/311567/location/1	مرکزی	.
almond_translate/311567/location/2	جزیره هنگ کنگ	.
almond_translate/311567/type/0	موزه ها	.
almond_translate/311572/address/0	سرزمینهای جدید	.
almond_translate/311572/name/0	تای فو تای مانشن	.
almond_translate/311572/location/0	سرزمینهای نو	.
almond_translate/311572/location/1	یوین لانگ	.
almond_translate/311572/type/0	مناظر و چشم انداز	.
almond_translate/311573/address/0	شماره یک جاده لوگارد	.
almond_translate/311573/name/0	قله ویکتوریا (دره)	.
almond_translate/311573/location/0	قله	.
almond_translate/311573/location/1	منطقه مرکزی	.
almond_translate/311573/location/2	جزیره هنگ کنگ	.
almond_translate/311573/type/0	مناظر و چشم انداز	.
almond_translate/311603/address/0	شماره ۱۰ ، جاده ی سالیبری ، منطقه ی یا تیم مونگ ، کووان	.
almond_translate/311603/name/0	موزه هنرهای هنگ کنگ	.
almond_translate/311603/location/0	تیم شا تی	.
almond_translate/311603/location/1	کولوون	.
almond_translate/311603/location/2	منطقه ی یا سیم مونگ	.
almond_translate/311603/type/0	موزه ها	.
almond_translate/311604/address/0	100 خیابان چتهام ، تیم شا تی ای است ، کولوون	.
almond_translate/311604/name/0	موزه تاریخ شهر	.
almond_translate/311604/location/0	تیم شا تی	.
almond_translate/311604/location/1	کولوون	.
almond_translate/311604/location/2	منطقه ی یا سیم مونگ	.
almond_translate/311604/type/0	موزه ها	.
almond_translate/311605/address/0	شماره دو ، جاده موزه علوم ، چین شا تی ای ، کولوون	.
almond_translate/311605/name/0	موزه علوم هنگ کنگ	.
almond_translate/311605/location/0	تیم شا تی	.
almond_translate/311605/location/1	کولوون	.
almond_translate/311605/location/2	منطقه ی یا سیم مونگ	.
almond_translate/311605/type/0	موزه ها	.
almond_translate/311609/address/0	2 دهکده چوک یوین ، وانگ تای سین ، کووloon	.
almond_translate/311609/name/0	در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ، در واقع ،	.
almond_translate/311609/location/0	وانگ تای سین ولسوالۍ	.
almond_translate/311609/location/1	کولوون	.
almond_translate/311609/type/0	مناظر و چشم انداز	.
almond_translate/315245/address/0	خیابان کانسو و خیابان جردن ، مونگاک ، کولوون	.
almond_translate/315245/name/0	بازار شبانه خیابان معبد	.
almond_translate/315245/location/0	کولوون	.
almond_translate/315245/location/1	منطقه ی یا سیم مونگ	.
almond_translate/315245/location/2	اردن / یا ما تی	.
almond_translate/315245/type/0	خرید	.
almond_translate/315462/address/0	1 مان لام رید ، شاتین ، Terries جدید	.
almond_translate/315462/name/0	موزه میراث هند	.
almond_translate/315462/location/0	سرزمینهای نو	.
almond_translate/315462/location/1	شا تین	.
almond_translate/315462/type/0	موزه ها	.
