774822/name/0	King Ludwig Beerhall
774822/address/0	Salisbury Road, Tsim Sha Tsui
774822/cuisine/0	German
774822/cuisine/1	Bar
774822/cuisine/2	European
774822/cuisine/3	Pub
774822/cuisine/4	Central European
774822/dietary_restrictions/0	None
774822/location/0	Tsim Sha Tsui
774822/location/1	Kowloon
774822/location/2	Yau Tsim Mong District
776541/name/0	Nha Trang Vietnamese Restaurant
776541/address/0	No.88-90 Wellington Street, Central Causeway Bay
776541/cuisine/0	Asian
776541/cuisine/1	Vietnamese
776541/dietary_restrictions/0	Vegetarian Friendly
776541/location/0	Central
776541/location/1	Central District
776541/location/2	Hong Kong Island
776832/name/0	Australia Dairy Company
776832/address/0	G/F, 47-49 Parkes Street, Jordan
776832/cuisine/0	Chinese
776832/dietary_restrictions/0	None
776832/location/0	Jordan / Yau Ma Tei
776832/location/1	Kowloon
776832/location/2	Yau Tsim Mong District
777502/name/0	Ser Wong Fun
777502/address/0	30 Cochrane Street, Central
777502/cuisine/0	Chinese
777502/cuisine/1	Asian
777502/cuisine/2	Soups
777502/dietary_restrictions/0	None
777502/location/0	Central
777502/location/1	Central District
777502/location/2	Hong Kong Island
778447/name/0	Mask of Sichuan and Beijing
778447/address/0	Shop #33, G/F, KCR East TST Station
778447/cuisine/0	Chinese
778447/cuisine/1	Asian
778447/dietary_restrictions/0	Vegetarian Friendly
778447/location/0	Tsim Sha Tsui
778447/location/1	Kowloon
778447/location/2	Yau Tsim Mong District
778474/name/0	Cafe Causette
778474/address/0	M/F, Mandarin Oriental Hong Kong, No.5 Connaught Road, Central 5 Connaught Road Central
778474/cuisine/0	Cafe
778474/cuisine/1	International
778474/dietary_restrictions/0	Vegetarian Friendly
778474/dietary_restrictions/1	Vegan Options
778474/dietary_restrictions/2	Gluten Free Options
778474/location/0	Central
778474/location/1	Central District
778474/location/2	Hong Kong Island
779644/name/0	Aqua Roma, Aqua Tokyo & Aqua Spirit
779644/address/0	29/F & 30/F, 1 Peking Road, Tsim Sha Tsui
779644/cuisine/0	Italian
779644/cuisine/1	Japanese
779644/dietary_restrictions/0	Vegetarian Friendly
779644/dietary_restrictions/1	Vegan Options
779644/dietary_restrictions/2	Gluten Free Options
779644/location/0	Tsim Sha Tsui
779644/location/1	Kowloon
779644/location/2	Yau Tsim Mong District
779820/name/0	Lan Fong Yuen
779820/address/0	G/F2 Gage Street Central
779820/cuisine/0	Chinese
779820/cuisine/1	Asian
779820/dietary_restrictions/0	None
779820/location/0	Central
779820/location/1	Central District
779820/location/2	Hong Kong Island
780281/name/0	Ned Kelly's Last Stand
780281/address/0	G/F, 11A Ashley Road, Tsim Sha Tsui
780281/cuisine/0	Bar
780281/cuisine/1	British
780281/cuisine/2	Pub
780281/cuisine/3	Australian
780281/dietary_restrictions/0	None
780281/location/0	Tsim Sha Tsui
780281/location/1	Kowloon
780281/location/2	Yau Tsim Mong District
780314/name/0	Unkai Japanese Cuisine
780314/address/0	20 Nathan Road 3/F, Sheraton Hong Kong Hotel & Towers
780314/cuisine/0	Japanese
